batch,rmse,mae
83,140209.5553624201,25235.08319740796
84,134227.81937489746,33891.43125903878
85,374957.8447365468,60252.36861278835
86,241518.46183615702,56365.33616102802
87,387696.5250465637,94001.17502550376
88,489126.7555797407,72798.54662831196
89,684376.5328958941,84703.14644028974
90,328975.9322066843,100613.54628502477
91,103900.45066052144,36686.60553045471
92,135808.4690778195,23828.537918762973
93,167945.7723132161,35499.86813465754
94,276853.33758856606,49950.27575281811
95,253401.36367416257,40688.40175067713
96,193865.53697160888,31321.579458469165
97,80953.89581138303,19394.699355680463
98,1196346.106648057,85944.99701599842
99,279173.29647067044,61237.99779572419
100,93348.46640060129,21910.22587447504
101,97856.37973509035,22512.186210327098
102,106677.72680357857,27324.87349642504
103,322600.6185808525,36890.82063083553
104,570001.9021969717,28965.651752365266
105,367013.4002303603,36039.52303189657
106,143155.81948582144,21811.048481284954
107,93120.37734190628,25863.641156916405
108,129087.94364519016,17233.731346056276
109,207185.23424918004,50895.97838492655
110,254697.32947995618,48031.04176201998
111,412678.1269686679,43661.32280985947
112,362533.4703723187,43398.44470567542
113,154507.90732542737,31098.900576997126
114,337931.41464079224,36015.87339748758
115,209627.2205384328,57049.75918613977
116,302333.19342215185,37019.588919946196
117,62318.38875385726,16955.02338452802
118,92813.56461455759,14777.509673696917
119,305851.8716612306,28939.552434502668
120,189392.0824464166,36023.322551932666
121,1934950.386459496,80797.95338248646
122,2361739.6245632214,213124.18521028405
123,90521.81917891894,13167.10182233774
124,185095.3305599133,40993.33522459685
125,282813.0117815567,36666.105842192905
126,142940.23939858246,26460.62450737776
127,131655.6289118803,23162.863192662917
128,153281.96167546057,24493.2576763517
129,146268.78402674865,27598.621588951668
130,254335.60422408293,33982.77360296746
131,381927.06132768234,93978.90184151691
132,190412.91638130997,31673.18858354195
133,145861.13340584433,24202.76337326507
134,108189.7111092503,24528.178332321495
135,102252.75601971317,14639.211113579773
136,321388.99264650606,23640.225701994015
137,250580.15743445308,34826.66984141927
138,96119.8954079139,21033.56548762559
139,95011.32178088871,23332.0914981964
140,115014.68071021406,19934.26609132611
141,253602.80916611128,38199.16151776424
142,355692.624136872,73263.66634459431
143,152995.28212855474,35193.20356137503
144,138349.48227900628,25389.64786411214
145,99639.01736368846,56206.15098178063
146,122666.79131954283,14886.220323064363
147,125832.46339656053,15516.192886840581
148,166238.49901887216,18561.256594549013
149,157318.32799583243,32091.603480761787
150,92093.37967306952,15388.88969124194
151,173188.0623252369,45790.42620472136
1,408870.9347219474,157669.32209075958
2,189942.9631405728,69844.82722188701
3,132104.3358369127,25568.012694572346
4,111667.21385476326,31058.71680639183
5,154592.83011826285,32252.381885188755
6,98464.15428814178,21421.147657236063
7,1460218.0883360826,80157.7931052311
8,840650.6974246361,100014.33806306124
9,254249.71876770596,59575.82579650879
10,258395.44227928287,85356.14804154601
11,182966.230513116,24628.43239201282
12,124242.90141393797,22416.924841852426
13,103925.4340107328,25603.845298306256
14,109568.61707729865,23661.25686325031
15,302253.98734029045,34587.218771859065
1,420162.11768825876,150988.6405803753
2,193186.4551155588,69353.9271641669
3,132079.25674633376,25282.516519600256
4,133052.17803645175,40264.944776557255
5,156780.98622908493,32836.85430043058
6,99539.19708183223,21935.100678002364
7,1457192.5204580827,88943.12326157755
8,737869.1600852293,88288.71353659884
9,243570.6719275446,53850.36704208428
1,407059.0920161687,129990.19105648772
2,174316.18015153578,60691.05706538445
3,131968.71563157724,24803.957785149625
4,122524.41583750132,36139.18063539817
5,154787.56455963428,32212.664718692446
6,97499.90830556254,20845.511654748752
7,1458766.0714892535,84101.01901137402
8,769225.272830109,88473.99024909524
9,247950.74394706902,58347.42429095221
1,402898.59993301897,76901.25042697015
2,177175.00593990457,49126.38676739171
3,130468.35044696795,22582.029262185533
4,89944.75161608311,15020.972772949028
5,144155.20850889487,17155.790554107505
6,96935.98286662386,18840.150385475765
7,1457038.4953431815,65582.21209170012
8,478203.54937563295,55122.09143991622
9,280456.7738678654,55389.41894430966
1,384641.42378857516,68433.43933992444
2,179477.7950140984,53848.164542332735
3,130533.44528770396,23021.057993937022
4,88921.74527750569,14702.704091012745
5,144219.113130615,17102.53722785355
6,95999.09751904561,18145.035636171506
7,1456160.0250216322,65587.98238989327
8,395453.1260631453,49786.0028600083
9,278423.2419452697,54859.674560395855
1,424499.0321786985,139920.38191820003
1,392258.2619105173,144782.87701340002
1,382337.45562458714,126411.65442590001
2,397586.35120613244,153380.52586645455
3,232635.39572524556,124207.39300683334
4,199887.58991638626,103307.15803376923
5,279049.48959028063,118648.74213192858
6,182839.04192105646,96904.44091240001
7,1468608.1753893625,151903.03909562502
8,227150.3818496838,97597.80837405883
9,291357.2082366232,105544.80845294445
1,386261.6905408696,134105.1892046
2,356757.8741117911,149224.62934072726
3,227407.5637393149,116432.44988908335
4,194315.9902258181,97553.35841646156
5,256762.74187354083,112286.26462614286
6,174482.18384900162,91513.03703060001
7,1469672.3673027789,151577.71566118754
8,216812.60229855243,91313.26049476472
9,298969.596600793,103375.77301750002
1,408101.6522558289,136095.4794991
2,403035.2132383162,166658.680994
3,249869.9618274297,132925.18037733334
4,202213.96179300972,108270.51455169232
5,282039.76506265334,128066.17910635714
6,190084.2882366775,104118.76406486666
7,1470290.0529892736,161986.4374106875
8,228453.7314653456,98811.10894258824
9,303955.6668550669,112748.55553538892
1,396813.97998580453,131547.65140990002
2,355194.3644240601,147959.38516645457
3,221392.50223301342,114208.69622091667
4,181752.72677416497,93232.62376007692
5,248032.0945841351,105753.75813842859
6,173372.38007323467,90406.52189826667
7,1469096.7571913844,147563.22636443752
8,211542.52586271154,90138.047218
9,286289.42858778685,100755.7837823889
1,416201.3486708862,148336.4228616
2,497537.7278644604,195405.39128499996
3,305480.3048432372,162135.44507141667
4,242525.0992380162,126879.96823138463
5,346522.9681682032,151278.22530864287
6,232554.20446460348,122387.70994133335
7,1473175.2364668828,176843.35048206252
8,271542.5945478036,118949.14900458825
9,334510.11140278034,129083.29791216669
1,413183.6158110581,130915.3170442
2,419794.47587120533,158433.68233854545
3,251252.06381649035,128072.90288700002
4,204935.42260737286,100046.2505983077
5,287409.81949417683,117935.58341628572
6,203800.54002426364,101195.50479080001
7,1471664.867623602,156449.5628256875
8,233862.67574969475,96873.60716958824
9,301878.91809441155,104797.85500227779
